NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE,18.22403,51.51563, 0.1, 1000.2666666666668, 0.0,3.1,1.7033333333333331, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE,19.94282,49.96103, 37.39090909090909, 974.8363636363637, 26.363636363636363,2.509090909090909,2.245454545454545, 2026-07-25 13:49:23
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA,18.9457058,49.965883, 45.43333333333334, 996.2333333333332, 23.5,0.6333333333333331,0.383333333333333, 2026-07-25 13:49:23
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI,17.7889069,51.596172, 99.90000000000002, 992.4, 16.4,21.3,11.15, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE,18.989839,49.971937, 42.5, 982.1999999999999, 29.5,1.666666666666666,0.97, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA,18.774985,49.9603559, 41.4, 988.6333333333333, 22.433333333333334,3.633333333333333,2.119999999999999, 2026-07-25 13:49:23
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK,18.94634,50.00955, 42.46666666666667, 990.7333333333332, 24.733333333333334,1.8,1.016666666666666, 2026-07-25 13:49:23
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA,18.906757,49.9582444, 49.300000000000004, 987.6, 23.5,3.066666666666666,1.86, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ,16.8968,52.3481, 47.06666666666666, 993.7666666666668, 26.233333333333334,3.533333333333333,2.036666666666666, 2026-07-25 13:49:23
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE,17.822685,51.59023, 49.300000000000004, 1001.2666666666668, 24.400000000000002,3.166666666666666,1.753333333333333, 2026-07-25 13:49:23
LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA JAGIEŁŁY W ODOLANOWIE, KROTOSZYŃSKA, 63-430, ODOLANÓW,17.66024,51.58063, 38.86666666666667, 994.9666666666667, 25.099999999999998,4.2,2.54, 2026-07-25 13:49:23
ZESPÓŁ SZKÓŁ W PIOTROWIE, , 62-814, PIOTRÓW,18.05485,51.8157, 33.166666666666664, 995.9, 31.3,0.9,0.573333333333333, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA W CZARNYMLESIE, , 63-421, CZARNYLAS,17.762604,51.508366, 39.5, 990.5, 25.400000000000002,0.033333333333333,0.016666666666666, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU, ŻABIKOWSKA, 62-030, LUBOŃ,16.878431,52.346672, 52.199999999999996, 1001.6666666666666, 25.53333333333333,4.899999999999999,2.793333333333333, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W DORUCHOWIE, KALISKA, 63-505, DORUCHÓW,18.0786,51.4189, 36.03333333333333, 1013.9333333333334, 26.366666666666664,0.066666666666666,0.033333333333333, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W BUKOWCU, SZKOLNA, 95-006, BUKOWIEC,19.6757,51.6918, 61.833333333333336, 982.2666666666668, 24.7,2.133333333333333,1.24, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE, MARII KONOPNICKIEJ, 63-220, KOTLIN,17.645437,51.91866, 50.76666666666667, 993.3333333333334, 24.0,0.0,0.0, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 2 W OTMUCHOWIE, KALINOWA, 48-385, OTMUCHÓW,17.213,50.46535, 51.199999999999996, 989.6333333333333, 24.066666666666666,6.366666666666667,3.4666666666666672, 2026-07-25 13:49:23
