smog_data,it_has_next_page,pages_total
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH', 'street': 'UL. SZKOLNA', 'post_code': '63-522', 'city': 'KRASZEWICE', 'longitude': '18.22403', 'latitude': '51.51563'}, 'data': {'humidity_avg': 0.1, 'pressure_avg': 1000.2666666666668, 'temperature_avg': 0.0, 'pm10_avg': 3.1, 'pm25_avg': 1.7033333333333331}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA WE WRZĄSOWICACH', 'street': 'UL. SZKOLNA', 'post_code': '32-040', 'city': 'WRZĄSOWICE', 'longitude': '19.94282', 'latitude': '49.96103'}, 'data': {'humidity_avg': 37.39090909090909, 'pressure_avg': 974.8363636363637, 'temperature_avg': 26.363636363636363, 'pm10_avg': 2.509090909090909, 'pm25_avg': 2.245454545454545}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE', 'street': 'UL. KAZIMIERZA WIELKIEGO', 'post_code': '43-200', 'city': 'PSZCZYNA', 'longitude': '18.9457058', 'latitude': '49.965883'}, 'data': {'humidity_avg': 45.43333333333334, 'pressure_avg': 996.2333333333332, 'temperature_avg': 23.5, 'pm10_avg': 0.6333333333333331, 'pm25_avg': 0.383333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM', 'street': 'SZKOLNA', 'post_code': '63-421', 'city': 'JANKÓW PRZYGODZKI', 'longitude': '17.7889069', 'latitude': '51.596172'}, 'data': {'humidity_avg': 99.90000000000002, 'pressure_avg': 992.4, 'temperature_avg': 16.4, 'pm10_avg': 21.3, 'pm25_avg': 11.15}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH', 'street': 'UL. MĘCZENNIKÓW OŚWIĘCIMSKICH', 'post_code': '43-229', 'city': 'ĆWIKLICE', 'longitude': '18.989839', 'latitude': '49.971937'}, 'data': {'humidity_avg': 42.5, 'pressure_avg': 982.1999999999999, 'temperature_avg': 29.5, 'pm10_avg': 1.666666666666666, 'pm25_avg': 0.9700000000000001}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE', 'street': 'UL. JORDANA', 'post_code': '43-245', 'city': 'STUDZIONKA', 'longitude': '18.774985', 'latitude': '49.9603559'}, 'data': {'humidity_avg': 41.4, 'pressure_avg': 988.6333333333333, 'temperature_avg': 22.433333333333334, 'pm10_avg': 3.633333333333333, 'pm25_avg': 2.119999999999999}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU', 'street': 'SZKOLNA', 'post_code': '43-211', 'city': 'PIASEK', 'longitude': '18.94634', 'latitude': '50.00955'}, 'data': {'humidity_avg': 42.46666666666667, 'pressure_avg': 990.7333333333332, 'temperature_avg': 24.733333333333334, 'pm10_avg': 1.8, 'pm25_avg': 1.016666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE', 'street': 'FITELBERGA', 'post_code': '43-241', 'city': 'ŁĄKA', 'longitude': '18.906757', 'latitude': '49.9582444'}, 'data': {'humidity_avg': 49.300000000000004, 'pressure_avg': 987.6, 'temperature_avg': 23.5, 'pm10_avg': 3.066666666666666, 'pm25_avg': 1.8599999999999999}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 3 W LUBONIU', 'street': 'ARMII POZNAŃ', 'post_code': '62-030', 'city': 'LUBOŃ', 'longitude': '16.8968', 'latitude': '52.3481'}, 'data': {'humidity_avg': 47.06666666666666, 'pressure_avg': 993.7666666666668, 'temperature_avg': 26.233333333333334, 'pm10_avg': 3.533333333333333, 'pm25_avg': 2.036666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH', 'street': 'PTR', 'post_code': '63-421', 'city': 'PRZYGODZICE', 'longitude': '17.822685', 'latitude': '51.59023'}, 'data': {'humidity_avg': 49.300000000000004, 'pressure_avg': 1001.2666666666668, 'temperature_avg': 24.400000000000002, 'pm10_avg': 3.166666666666666, 'pm25_avg': 1.753333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA JAGIEŁŁY W ODOLANOWIE', 'street': 'KROTOSZYŃSKA', 'post_code': '63-430', 'city': 'ODOLANÓW', 'longitude': '17.66024', 'latitude': '51.58063'}, 'data': {'humidity_avg': 38.86666666666667, 'pressure_avg': 994.9666666666667, 'temperature_avg': 25.099999999999998, 'pm10_avg': 4.2, 'pm25_avg': 2.54}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKÓŁ W PIOTROWIE', 'street': None, 'post_code': '62-814', 'city': 'PIOTRÓW', 'longitude': '18.05485', 'latitude': '51.81570'}, 'data': {'humidity_avg': 33.166666666666664, 'pressure_avg': 995.9, 'temperature_avg': 31.3, 'pm10_avg': 0.9, 'pm25_avg': 0.573333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA W CZARNYMLESIE', 'street': None, 'post_code': '63-421', 'city': 'CZARNYLAS', 'longitude': '17.762604', 'latitude': '51.508366'}, 'data': {'humidity_avg': 39.5, 'pressure_avg': 990.5, 'temperature_avg': 25.400000000000002, 'pm10_avg': 0.033333333333333, 'pm25_avg': 0.016666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU', 'street': 'ŻABIKOWSKA', 'post_code': '62-030', 'city': 'LUBOŃ', 'longitude': '16.878431', 'latitude': '52.346672'}, 'data': {'humidity_avg': 52.199999999999996, 'pressure_avg': 1001.6666666666666, 'temperature_avg': 25.53333333333333, 'pm10_avg': 4.899999999999999, 'pm25_avg': 2.793333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W DORUCHOWIE', 'street': 'KALISKA', 'post_code': '63-505', 'city': 'DORUCHÓW', 'longitude': '18.0786', 'latitude': '51.4189'}, 'data': {'humidity_avg': 36.03333333333333, 'pressure_avg': 1013.9333333333334, 'temperature_avg': 26.366666666666664, 'pm10_avg': 0.066666666666666, 'pm25_avg': 0.033333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W BUKOWCU', 'street': 'SZKOLNA', 'post_code': '95-006', 'city': 'BUKOWIEC', 'longitude': '19.6757', 'latitude': '51.6918'}, 'data': {'humidity_avg': 61.833333333333336, 'pressure_avg': 982.2666666666668, 'temperature_avg': 24.7, 'pm10_avg': 2.133333333333333, 'pm25_avg': 1.24}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE', 'street': 'MARII KONOPNICKIEJ', 'post_code': '63-220', 'city': 'KOTLIN', 'longitude': '17.645437', 'latitude': '51.91866'}, 'data': {'humidity_avg': 50.76666666666667, 'pressure_avg': 993.3333333333334, 'temperature_avg': 24.0, 'pm10_avg': 0.0, 'pm25_avg': 0.0}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 2 W OTMUCHOWIE', 'street': 'KALINOWA', 'post_code': '48-385', 'city': 'OTMUCHÓW', 'longitude': '17.213', 'latitude': '50.46535'}, 'data': {'humidity_avg': 51.199999999999996, 'pressure_avg': 989.6333333333333, 'temperature_avg': 24.066666666666666, 'pm10_avg': 6.366666666666667, 'pm25_avg': 3.4666666666666672}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. BOHATERÓW POWSTAŃ ŚLĄSKICH W KAŁKOWIE', 'street': None, 'post_code': '48-364', 'city': 'KAŁKÓW', 'longitude': '17.185241', 'latitude': '50.40420'}, 'data': {'humidity_avg': 30.866666666666664, 'pressure_avg': 985.7333333333332, 'temperature_avg': 27.433333333333334, 'pm10_avg': 2.533333333333333, 'pm25_avg': 1.366666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA W MACIEJOWICACH', 'street': None, 'post_code': '48-385', 'city': 'MACIEJOWICE', 'longitude': '17.13497', 'latitude': '50.4998'}, 'data': {'humidity_avg': 36.43333333333333, 'pressure_avg': 976.2333333333332, 'temperature_avg': 27.233333333333334, 'pm10_avg': 0.766666666666666, 'pm25_avg': 0.42}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'TEST SZKOŁA', 'street': 'ul Testowa', 'post_code': '00-000', 'city': 'TESTCITY', 'longitude': '-157.52969778504766', 'latitude': '1.8586845937815497'}, 'data': {'humidity_avg': 48.43333333333334, 'pressure_avg': 994.8666666666668, 'temperature_avg': 23.53333333333333, 'pm10_avg': 0.6666666666666661, 'pm25_avg': 0.36999999999999905}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ EDUKACYJNY W KONOTOPIE', 'street': 'PL. POWSTAŃCÓW WIELKOPOLSKICH', 'post_code': '67-416', 'city': 'KONOTOP', 'longitude': '15.9031', 'latitude': '51.93023'}, 'data': {'humidity_avg': 40.4, 'pressure_avg': 1001.6999999999999, 'temperature_avg': 23.666666666666668, 'pm10_avg': 3.6999999999999993, 'pm25_avg': 2.11}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'PRZEDSZKOLE NR 6 W BOCHNI', 'street': 'MUROWIANKA', 'post_code': '32-700', 'city': 'BOCHNIA', 'longitude': '20.4415', 'latitude': '49.96533'}, 'data': {'humidity_avg': 39.1, 'pressure_avg': 1000.0, 'temperature_avg': 25.53333333333333, 'pm10_avg': 1.733333333333333, 'pm25_avg': 0.9666666666666661}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'PUBLICZNA SZKOŁA PODSTAWOWA W SZYMISZOWIE', 'street': 'SZKOLNA', 'post_code': '47-161', 'city': 'SZYMISZÓW', 'longitude': '18.21983', 'latitude': '50.53656'}, 'data': {'humidity_avg': 47.0, 'pressure_avg': 988.8666666666667, 'temperature_avg': 25.599999999999998, 'pm10_avg': 2.066666666666666, 'pm25_avg': 1.106666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'PUBLICZNA SZKOŁA PODSTAWOWA W ROZMIERCE', 'street': 'SZKOLNA', 'post_code': '47-171', 'city': 'ROZMIERKA', 'longitude': '18.26905', 'latitude': '50.560720'}, 'data': {'humidity_avg': 1.0, 'pressure_avg': 1016.1666666666666, 'temperature_avg': 30.400000000000002, 'pm10_avg': 3.6999999999999993, 'pm25_avg': 1.96}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W KUROWICACH FILIA W WOLI RAKOWEJ', 'street': 'SZKOLNA', 'post_code': '95-006', 'city': 'WOLA RAKOWA', 'longitude': '19.61157', 'latitude': '51.67447'}, 'data': {'humidity_avg': 54.5, 'pressure_avg': 988.7666666666668, 'temperature_avg': 25.066666666666666, 'pm10_avg': 0.066666666666666, 'pm25_avg': 0.036666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 8 IM. JÓZEFA WESZKI W RUDOŁTOWICACH', 'street': 'KRZYWOŃ', 'post_code': '43-220', 'city': 'RUDOŁTOWICE', 'longitude': '19.00171', 'latitude': '49.95711'}, 'data': {'humidity_avg': 55.06666666666666, 'pressure_avg': 992.4, 'temperature_avg': 24.599999999999998, 'pm10_avg': 0.2, 'pm25_avg': 0.099999999999999}, 'timestamp': '2026-07-25 14:21:08'}",False,
